,channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber,e_m_lower,e_m_upper,e_y_lower,e_y_upper,age,v_per_view,age_cate
0,Autos,US,2015-12-28,$18.5K - $295.9K,$221.9K - $3.6M,A-,-14.0,172287,3236522,1142,1458742888,-7,73963500,Dekja,18500.0,295900.0,221900.0,3600000.0,3,1277358.0455341507,0
1,Autos,,2014-04-05,$1K - $16.2K,$12.2K - $194.6K,B,229.0,30668,282534,134,60274853,114,4053660,Review Machines,1000.0,16200.0,12200.0,194600.0,4,449812.3358208955,1
2,Travel,PL,2014-07-29,$751 - $12K,$9K - $144.2K,B,-38.0,19138,549892,166,52167874,-19,3003840,Urbex History,751.0,12000.0,9000.0,144200.0,4,314264.3012048193,1
3,Sports,,2017-08-23,$1.9K - $30.2K,$22.6K - $362K,B,-7.0,18466,277756,1842,112574237,-3,7541790,Kun Khmer Fighter,1900.0,30200.0,22600.0,362000.0,1,61115.22095548317,0
4,Shows,,2007-09-17,$3 - $44,$33 - $533,C+,52.0,30,1979,292,2023555,30,11100,AliveMind,3.0,44.0,33.0,533.0,11,6929.982876712329,2
5,Tech,TH,2011-08-09,$1.6K - $25.3K,$19K - $303.6K,B,-7.0,31565,767355,1714,149349546,-10,6325380,StepGeekTV Online,1600.0,25300.0,19000.0,303600.0,7,87135.0910151692,1
6,Animals,KR,2012-05-26,$651 - $10.4K,$7.8K - $125K,B,,0,0,526,39201864,16,2603340,상디Sanji,651.0,10400.0,7800.0,125000.0,6,74528.25855513308,1
7,Nonprofit,BR,2014-05-08,$405 - $6.5K,$4.9K - $77.7K,B,-2.0,24124,390837,738,25965816,-4,1619040,Estevam Pelo Mundo,405.0,6500.0,4900.0,77700.0,4,35184.03252032521,1
8,Howto,US,2010-12-23,$2.3K - $37.6K,$28.2K - $450.9K,B,-464.0,1037,40359,50,89824641,-123,9392730,FAGE,2300.0,37600.0,28200.0,450900.0,8,1796492.82,1
9,Games,MX,2012-07-16,$7.2K - $114.9K,$86.2K - $1.4M,B+,-12.0,30758,1290861,344,1243381130,8,28723110,Humberto Contreras,7200.0,114900.0,86200.0,1400000.0,6,3614480.0290697673,1
10,Film,RU,2016-02-10,$7.1K - $112.9K,$84.7K - $1.4M,B+,46.0,51622,336115,229,148399017,81,28235280,Маленькое королевство…,7100.0,112900.0,84700.0,1400000.0,2,648030.6419213974,0
11,Entertainment,VN,2017-05-03,$15.9K - $254.1K,$190.6K - $3M,A,47.0,104674,511407,243,268731174,57,63531000,BonBon TV,15900.0,254100.0,190600.0,3000000.0,1,1105889.6049382717,0
12,Education,,2015-04-15,$3.1K - $49.2K,$36.9K - $590.1K,B+,-33.0,59458,524749,576,82389476,-11,12294180,SurajFineArts - Abstract ART,3100.0,49200.0,36900.0,590100.0,3,143037.28472222222,0
13,Comedy,UA,2014-11-17,$3.3K - $52.7K,$39.5K - $632.1K,B+,-2.0,31649,544333,601,281316363,126,13169400,Рассмеши Комика -…,3300.0,52700.0,39500.0,632100.0,4,468080.47088186356,1
14,Comedy,VN,2017-01-24,$4.5K - $72.2K,$54.1K - $865.9K,B+,128.0,47798,401894,580,194343031,102,18039720,NỤ CƯỜI VÀNG TV,4500.0,72200.0,54100.0,865900.0,2,335074.19137931033,0
15,Comedy,US,2015-05-01,$4.7K - $74.9K,$56.2K - $899.4K,B+,2.0,34493,3790786,222,500516919,86,18736680,Tana Mongeau,4700.0,74900.0,56200.0,899400.0,3,2254580.7162162163,0
16,Comedy,,2014-12-08,$2.9K - $46.1K,$34.5K - $552.7K,B+,71.0,120198,2406053,136,236262992,45,11514000,4 AMIGOS STAND UP COMEDY,2900.0,46100.0,34500.0,552700.0,4,1737227.8823529412,1
17,Comedy,BA,2009-06-27,$3.5K - $56.4K,$42.3K - $676.6K,B+,75.0,35657,621043,202,220713511,78,14096130,Omco,3500.0,56400.0,42300.0,676600.0,9,1092641.1435643565,2
18,Comedy,US,2007-01-13,$3.8K - $60K,$45K - $720.5K,B+,-36.0,24780,2841741,644,1247188159,-11,15009720,Dorkly,3800.0,60000.0,45000.0,720500.0,12,1936627.5760869565,2
19,Comedy,IN,2014-08-26,$4K - $64.3K,$48.2K - $771.3K,B+,8.0,106741,2575695,180,337050578,28,16068750,Be YouNick,4000.0,64300.0,48200.0,771300.0,4,1872503.211111111,1
20,Comedy,SE,2014-09-24,$3.7K - $59.4K,$44.6K - $712.8K,B+,-2.0,165787,4246682,192,376865643,7,14850150,Narins Beauty,3700.0,59400.0,44600.0,712800.0,4,1962841.890625,1
21,Comedy,NL,2013-05-15,$3.3K - $52.5K,$39.3K - $629.6K,B+,-4.0,97463,1229054,153,175070364,30,13116180,Frame Order,3300.0,52500.0,39300.0,629600.0,5,1144250.7450980393,1
22,Comedy,IN,2014-10-17,$4.1K - $65.1K,$48.8K - $781.6K,B+,50.0,73876,2233162,1747,784649603,15,16282980,POPxoDaily,4100.0,65099.99999999999,48800.0,781600.0,4,449141.15798511734,1
23,Comedy,US,2008-01-27,$1.9K - $29.8K,$22.4K - $358.2K,B+,-22.0,-293,216705,21,22685687,-51,7462020,AfricanoBOi,1900.0,29800.0,22400.0,358200.0,10,1080270.8095238095,2
24,Comedy,US,2006-09-26,$4.2K - $67.7K,$50.8K - $813K,B+,-30.0,61920,2432245,694,482098775,16,16937130,Rachel Ballinger,4200.0,67700.0,50800.0,813000.0,12,694666.8227665706,2
25,Comedy,EG,2016-05-12,$3.4K - $54.2K,$40.7K - $650.9K,B+,196.0,33131,664100,60,349847808,128,13561380,Nelly & Sherihan,3400.0,54200.0,40700.0,650900.0,2,5830796.8,0
26,Comedy,,2015-10-18,$3K - $48.5K,$36.4K - $581.8K,B+,32.0,50540,412795,66,76255400,32,12120900,MeLon Dude,3000.0,48500.0,36400.0,581800.0,3,1155384.8484848484,0
27,Comedy,FR,2011-01-04,$4.8K - $76.4K,$57.3K - $917.1K,B+,-8.0,56462,11250824,158,2048510680,-9,19107000,NORMAN FAIT DES VIDÉOS,4800.0,76400.0,57300.0,917100.0,8,12965257.46835443,1
28,Comedy,RU,2015-11-16,$4.1K - $65.3K,$49K - $783.2K,B+,13.0,36299,135186,48,56928407,40,16317660,Фишка - канал русских…,4100.0,65300.0,49000.0,783200.0,3,1186008.4791666667,0
29,Comedy,MA,2017-01-13,$2.2K - $35.4K,$26.5K - $424.6K,B+,415.0,51989,230116,336,54125406,304,8845050,StandUp AlAoula TV,2200.0,35400.0,26500.0,424600.0,2,161087.51785714287,0
30,Comedy,IQ,2014-09-09,$4K - $63.5K,$47.7K - $762.4K,B+,68.0,76166,3089849,175,887396144,65,15883530,Ameer Alabadi,4000.0,63500.0,47700.0,762400.0,4,5070835.108571429,1
31,Comedy,,2014-07-09,$2.8K - $45.5K,$34.1K - $545.8K,B+,70.0,22942,210346,2375,114021909,62,11370450,"Проект ""Студия Звёзд""",2800.0,45500.0,34100.0,545800.0,4,48009.224842105265,1
32,Comedy,CA,2010-07-06,$3.6K - $57K,$42.8K - $684.1K,B+,171.0,124503,2436449,171,317860966,86,14251170,NELK,3600.0,57000.0,42800.0,684100.0,8,1858836.0584795321,1
33,Comedy,BR,2015-05-27,$3.2K - $50.5K,$37.9K - $606.5K,B+,22.0,236330,3604706,148,191427184,28,12636450,Ingrid Ohara TV,3200.0,50500.0,37900.0,606500.0,3,1293426.9189189188,0
34,Comedy,BR,2013-05-26,$3.2K - $51.8K,$38.9K - $621.8K,B+,59.0,153170,1479858,111,93619729,32,12953160,Lukas Batista,3200.0,51800.0,38900.0,621800.0,5,843420.981981982,1
35,Comedy,BR,2012-09-20,$4.3K - $69.2K,$51.9K - $830.1K,B+,-19.0,63094,5341575,364,1167539138,3,17294610,5 Alguma Coisa,4300.0,69200.0,51900.0,830100.0,6,3207525.104395604,1
36,Comedy,JP,2013-02-21,$4.1K - $66.3K,$49.8K - $796.1K,B+,-14.0,26020,1164689,580,378460536,1,16584780,タケヤキ翔,4100.0,66300.0,49800.0,796100.0,5,652518.1655172413,1
37,Comedy,FR,2011-09-19,$3.6K - $56.9K,$42.7K - $682.5K,B+,-20.0,14932,327955,15123,387193669,-7,14219760,France Inter,3600.0,56900.0,42700.0,682500.0,7,25602.966937776895,1
38,Comedy,KR,2015-08-04,$4.2K - $66.7K,$50K - $800.3K,B+,25.0,31449,748097,1210,317341421,44,16672680,외질혜 (OzilTube),4200.0,66700.0,50000.0,800300.0,3,262265.63719008263,0
39,Comedy,FR,2014-05-13,$4.8K - $77.3K,$58K - $927.4K,B+,4.0,83048,1714547,136,267929392,17,19321800,Les Parodie Bros,4800.0,77300.0,58000.0,927400.0,4,1970069.0588235294,1
40,Comedy,IN,2015-02-10,$4.3K - $68.3K,$51.2K - $819.5K,B+,-39.0,134209,3239487,497,323306250,-35,17072220,MostlySane,4300.0,68300.0,51200.0,819500.0,3,650515.5935613682,0
41,Comedy,IN,2015-12-10,$3.8K - $61.2K,$45.9K - $734.2K,B+,53.0,158785,2102910,81,177944653,61,15295110,Nazar Battu Productions,3800.0,61200.0,45900.0,734200.0,3,2196847.5679012346,0
42,Comedy,NZ,2007-03-14,$3.7K - $59K,$44.3K - $708.3K,B+,-2.0,41280,370760,82,60248896,38,14756340,Joseph's Machines,3700.0,59000.0,44300.0,708300.0,11,734742.6341463415,2
43,Comedy,TR,2014-12-26,$3.8K - $60.7K,$45.6K - $728.8K,B+,113.0,12447,906122,779,853294242,63,15184050,Beyaz Show,3800.0,60700.0,45600.0,728800.0,4,1095371.299101412,1
44,Comedy,ID,2016-04-22,$4.5K - $72K,$54K - $864.1K,B+,55.0,54254,679477,190,244844992,45,18001230,Tomat Lebay,4500.0,72000.0,54000.0,864100.0,2,1288657.852631579,0
45,Comedy,US,2016-04-21,$3.7K - $59.2K,$44.4K - $710.1K,B+,-17.0,42215,424847,145,94827114,99,14793300,Лучшие приколы Best Jokes,3700.0,59200.0,44400.0,710100.0,2,653980.0965517241,0
46,Comedy,IQ,2015-10-06,$3.6K - $58K,$43.5K - $696.2K,B+,84.0,59009,899076,88,121141835,83,14504580,طه البغدادي | Taha al-Baghdadi,3600.0,58000.0,43500.0,696200.0,3,1376611.7613636365,0
47,Comedy,,2017-05-09,$3.3K - $53.2K,$39.9K - $638.9K,B+,184.0,39453,620767,51,246610055,132,13311120,Fel La La Land,3300.0,53200.0,39900.0,638900.0,1,4835491.274509804,0
48,Comedy,DO,2015-02-12,$5.7K - $90.6K,$68K - $1.1M,B+,-16.0,99157,1570391,289,415390946,-11,22650570,Beby,5700.0,90600.0,68000.0,1100000.0,3,1437338.9134948098,0
49,Comedy,IN,2018-02-11,$4.5K - $72.8K,$54.6K - $873.5K,B+,-17.0,94137,1322662,48,167592730,-21,18197790,Fun Friend Indian,4500.0,72800.0,54600.0,873500.0,0,3491515.2083333335,0
50,Comedy,UA,2014-12-10,$5.3K - $85.6K,$64.2K - $1M,B+,-12.0,49341,1014474,1545,485915976,-16,21387600,Лига Смеха,5300.0,85600.0,64200.0,1000000.0,4,314508.7223300971,1
51,Comedy,UA,2014-10-31,$3.9K - $62.9K,$47.2K - $755K,B+,-9.0,143709,3099632,314,481858380,-14,15730020,Чоткий Паца,3900.0,62900.0,47200.0,755000.0,4,1534580.8280254777,1
52,Comedy,US,2011-04-18,$4.2K - $67.4K,$50.6K - $808.8K,B+,25.0,28096,313187,1316,248385447,46,16850880,Vitamin Production,4200.0,67400.0,50600.0,808800.0,7,188742.74088145897,1
53,Comedy,IN,2014-07-17,$4.1K - $66.2K,$49.6K - $793.9K,B+,-3.0,156176,857527,131,85774009,84,16539660,Triggered Insaan,4100.0,66200.0,49600.0,793900.0,4,654763.427480916,1
54,Comedy,VE,2015-06-29,$4.4K - $69.6K,$52.2K - $835.4K,B+,35.0,334944,6595574,67,323318443,126,17405130,YOLO,4400.0,69600.0,52200.0,835400.0,3,4825648.402985075,0
55,Comedy,RU,2014-08-23,$4K - $64.4K,$48.3K - $773.2K,B+,54.0,78269,695165,143,135788522,87,16108890,Margarita Chaton,4000.0,64400.00000000001,48300.0,773200.0,4,949570.0839160839,1
56,Comedy,KR,2013-06-07,$4.6K - $74.2K,$55.6K - $889.9K,B+,7.0,66288,3034387,302,760191931,2,18540390,영국남자 Korean Englishman,4600.0,74200.0,55600.0,889900.0,5,2517191.8245033114,1
57,Comedy,PL,2012-10-04,$5.1K - $81.1K,$60.8K - $972.6K,B+,16.0,21607,3302263,225,1020418570,23,20263380,AbstrachujeTV,5100.0,81100.0,60800.0,972600.0,6,4535193.644444444,1
58,Comedy,BO,2013-09-09,$3K - $48.2K,$36.2K - $578.8K,B+,,0,0,46,21535409,502,12058830,Gamers IkkI,3000.0,48200.0,36200.0,578800.0,5,468161.0652173913,1
59,Comedy,LT,2013-09-10,$3.7K - $59.8K,$44.8K - $717.1K,B+,156.0,66602,398985,412,89934445,141,14938590,ComedyWolf,3700.0,59800.0,44800.0,717100.0,5,218287.48786407767,1
60,Comedy,,2017-05-10,$4.4K - $71.2K,$53.4K - $854.2K,B+,142.0,34457,470099,1203,253726940,90,17796030,القناة الرسمية للفنان…,4400.0,71200.0,53400.0,854200.0,1,210911.8370739817,0
61,Comedy,US,2012-04-04,$5.2K - $83.6K,$62.7K - $1M,B+,-6.0,46749,899087,1321,537992274,15,20906640,Van Son,5200.0,83600.0,62700.0,1000000.0,6,407261.3732021196,1
62,Comedy,IN,2017-01-29,$3.7K - $58.4K,$43.8K - $700.9K,B+,274.0,202338,685034,75,56984016,206,14601750,This is sumesh,3700.0,58400.0,43800.0,700900.0,1,759786.88,0
63,Comedy,US,2014-07-24,$4.1K - $65K,$48.8K - $780.3K,B+,315.0,226794,1409306,53,114422741,216,16255560,Kyle Exum,4100.0,65000.0,48800.0,780300.0,4,2158919.6415094337,1
64,Comedy,US,2016-10-08,$6.7K - $107K,$80.2K - $1.3M,B+,56.0,95501,1376234,234,258531180,58,26739270,Sorrow TV,6700.0,107000.0,80200.0,1300000.0,2,1104834.1025641025,0
65,Comedy,IN,2016-04-29,$3.9K - $61.9K,$46.4K - $742.8K,B+,-29.0,214394,3981382,85,264768974,-9,15475860,Elvish yadav,3900.0,61900.0,46400.0,742800.0,2,3114929.105882353,0
66,Comedy,KR,2014-11-19,$3.5K - $56K,$42K - $671.6K,B+,-1.0,39471,451561,272,128621441,22,13992390,dingo freestyle,3500.0,56000.0,42000.0,671600.0,4,472872.9448529412,1
67,Comedy,ID,2016-01-15,$5.2K - $83.8K,$62.9K - $1M,B+,7.0,59580,1063596,1737,602076392,6,20951760,Stand Up Kompas TV,5200.0,83800.0,62900.0,1000000.0,3,346618.53310305125,0
68,Comedy,MX,2011-01-05,$4.9K - $78.8K,$59.1K - $945.3K,B+,15.0,175925,2794445,192,287116290,13,19693440,MissaSinfonia,4900.0,78800.0,59100.0,945300.0,8,1495397.34375,1
69,Comedy,US,2008-05-26,$6.4K - $102K,$76.5K - $1.2M,B+,25.0,40059,3352049,326,1065194489,14,25497630,TeamFourStar,6400.0,102000.0,76500.0,1200000.0,10,3267467.7576687117,2
70,Comedy,TH,2015-04-16,$4.3K - $68.6K,$51.5K - $823.2K,B+,38.0,51945,1472389,250,409714592,154,17150100,NotIsGoD เบสไวน์,4300.0,68600.0,51500.0,823200.0,3,1638858.368,0
71,Comedy,US,2007-09-27,$4.8K - $76.6K,$57.5K - $919.5K,B+,16.0,21962,707343,254,873515425,6,19156980,Mountain Apple Company Inc,4800.0,76600.0,57500.0,919500.0,11,3439037.1062992127,2
72,Comedy,IN,2016-04-22,$4.7K - $75.5K,$56.6K - $906.2K,B+,65.0,39908,330190,2113,125266960,52,18879420,Movie Scenes - Angel,4700.0,75500.0,56600.0,906200.0,2,59283.9375295788,0
73,Comedy,,2011-04-23,$5.3K - $84.8K,$63.6K - $1M,B+,21.0,330413,700348,72,36357926,66,21208440,Deshae Frost,5300.0,84800.0,63600.0,1000000.0,7,504971.19444444444,1
74,Comedy,,2016-08-31,$5.8K - $92.6K,$69.4K - $1.1M,B+,348.0,270512,7672485,69,534651872,172,23146500,Liza Koshy Too,5800.0,92600.0,69400.0,1100000.0,2,7748577.855072464,0
75,Comedy,IN,2016-02-24,$5.7K - $92K,$69K - $1.1M,B+,12.0,106033,943838,153,174447566,15,22995900,Samreen Ali,5700.0,92000.0,69000.0,1100000.0,2,1140180.1699346406,0
76,Comedy,VN,2012-07-02,$3.2K - $51.9K,$38.9K - $622.7K,B+,-28.0,63519,646352,60,111077435,-6,12973410,BB Trần,3200.0,51900.0,38900.0,622700.0,6,1851290.5833333333,1
77,Comedy,PL,2016-02-10,$3.7K - $59.5K,$44.7K - $714.6K,B+,133.0,40591,814446,93,172256477,120,14887020,WiP Bros.,3700.0,59500.0,44700.0,714600.0,2,1852220.182795699,0
78,Comedy,UA,2013-01-04,$6.2K - $99.1K,$74.3K - $1.2M,B+,41.0,37889,855828,4433,601060201,33,24764190,НЛО TV,6200.0,99100.0,74300.0,1200000.0,6,135587.68351003836,1
79,Comedy,RU,2010-07-25,$5.1K - $81.5K,$61.2K - $978.6K,B+,117.0,94303,9786295,495,2021219073,41,20386920,AdamThomasMoran,5100.0,81500.0,61200.0,978600.0,8,4083270.8545454545,1
80,Comedy,MX,2009-02-15,$5.3K - $85.4K,$64K - $1M,B+,17.0,157433,9322288,102,1432420404,14,21349350,Vete a la Versh,5300.0,85400.0,64000.0,1000000.0,9,14043337.294117646,2
81,Comedy,IN,2016-12-06,$1.3K - $20.9K,$15.7K - $250.6K,B+,100.0,55724,567958,238,97432052,-33,5220720,RDC Rajasthani Comedy Junction,1300.0,20900.0,15700.0,250600.0,2,409378.3697478992,0
82,Comedy,,2009-11-19,$5.2K - $83K,$62.2K - $995.8K,B+,-5.0,331925,4803291,154,291889175,30,20746320,Irmãos Berti,5200.0,83000.0,62200.0,995800.0,9,1895384.2532467532,2
83,Comedy,BR,2013-08-20,$5.5K - $87.9K,$65.9K - $1.1M,B+,52.0,309962,2313692,237,149689994,75,21978330,Jaqueline Sobrinho,5500.0,87900.0,65900.0,1100000.0,5,631603.3502109705,1
84,Comedy,GB,2012-01-03,$469 - $7.5K,$5.6K - $90K,B+,84.0,10007,176908,118,21009319,-1,1875480,Canking,469.0,7500.0,5600.0,90000.0,7,178045.07627118644,1
85,Comedy,US,2006-06-27,$5.1K - $81.8K,$61.4K - $982.1K,B+,-37.0,30036,4516423,1088,1948358307,3,20460600,jacksfilms,5100.0,81800.0,61400.0,982100.0,12,1790770.502757353,2
