channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Autos,US,"Dec 28th, 2015",$18.5K - $295.9K,$221.9K - $3.6M,A-,-14,172287,3236522,1142,1458742888,-7,73963500,Dekja
Autos,,"Apr 5th, 2014",$1K - $16.2K,$12.2K - $194.6K,B,229,30668,282534,134,60274853,114,4053660,Review Machines
Travel,PL,"Jul 29th, 2014",$751 - $12K,$9K - $144.2K,B,-38,19138,549892,166,52167874,-19,3003840,Urbex History
Sports,,"Aug 23rd, 2017",$1.9K - $30.2K,$22.6K - $362K,B,-7,18466,277756,1842,112574237,-3,7541790,Kun Khmer Fighter
Shows,,"Sep 17th, 2007",$3 - $44,$33 - $533,C+,52,30,1979,292,2023555,30,11100,AliveMind
Tech,TH,"Aug 9th, 2011",$1.6K - $25.3K,$19K - $303.6K,B,-7,31565,767355,1714,149349546,-10,6325380,StepGeekTV Online
Animals,KR,"May 26th, 2012",$651 - $10.4K,$7.8K - $125K,B,,0,0,526,39201864,16,2603340,상디Sanji
Nonprofit,BR,"May 8th, 2014",$405 - $6.5K,$4.9K - $77.7K,B,-2,24124,390837,738,25965816,-4,1619040,Estevam Pelo Mundo
Howto,US,"Dec 23rd, 2010",$2.3K - $37.6K,$28.2K - $450.9K,B,-464,1037,40359,50,89824641,-123,9392730,FAGE
Games,MX,"Jul 16th, 2012",$7.2K - $114.9K,$86.2K - $1.4M,B+,-12,30758,1290861,344,1243381130,8,28723110,Humberto Contreras
Film,RU,"Feb 10th, 2016",$7.1K - $112.9K,$84.7K - $1.4M,B+,46,51622,336115,229,148399017,81,28235280,Маленькое королевство…
Entertainment,VN,"May 3rd, 2017",$15.9K - $254.1K,$190.6K - $3M,A,47,104674,511407,243,268731174,57,63531000,BonBon TV
Education,,"Apr 15th, 2015",$3.1K - $49.2K,$36.9K - $590.1K,B+,-33,59458,524749,576,82389476,-11,12294180,SurajFineArts - Abstract ART
Comedy,UA,"Nov 17th, 2014",$3.3K - $52.7K,$39.5K - $632.1K,B+,-2,31649,544333,601,281316363,126,13169400,Рассмеши Комика -…
Comedy,VN,"Jan 24th, 2017",$4.5K - $72.2K,$54.1K - $865.9K,B+,128,47798,401894,580,194343031,102,18039720,NỤ CƯỜI VÀNG TV
Comedy,US,"May 1st, 2015",$4.7K - $74.9K,$56.2K - $899.4K,B+,2,34493,3790786,222,500516919,86,18736680,Tana Mongeau
Comedy,,"Dec 8th, 2014",$2.9K - $46.1K,$34.5K - $552.7K,B+,71,120198,2406053,136,236262992,45,11514000,4 AMIGOS STAND UP COMEDY
Comedy,BA,"Jun 27th, 2009",$3.5K - $56.4K,$42.3K - $676.6K,B+,75,35657,621043,202,220713511,78,14096130,Omco
Comedy,US,"Jan 13th, 2007",$3.8K - $60K,$45K - $720.5K,B+,-36,24780,2841741,644,1247188159,-11,15009720,Dorkly
Comedy,IN,"Aug 26th, 2014",$4K - $64.3K,$48.2K - $771.3K,B+,8,106741,2575695,180,337050578,28,16068750,Be YouNick
Comedy,SE,"Sep 24th, 2014",$3.7K - $59.4K,$44.6K - $712.8K,B+,-2,165787,4246682,192,376865643,7,14850150,Narins Beauty
Comedy,NL,"May 15th, 2013",$3.3K - $52.5K,$39.3K - $629.6K,B+,-4,97463,1229054,153,175070364,30,13116180,Frame Order
Comedy,IN,"Oct 17th, 2014",$4.1K - $65.1K,$48.8K - $781.6K,B+,50,73876,2233162,1747,784649603,15,16282980,POPxoDaily
Comedy,US,"Jan 27th, 2008",$1.9K - $29.8K,$22.4K - $358.2K,B+,-22,-293,216705,21,22685687,-51,7462020,AfricanoBOi
Comedy,US,"Sep 26th, 2006",$4.2K - $67.7K,$50.8K - $813K,B+,-30,61920,2432245,694,482098775,16,16937130,Rachel Ballinger
Comedy,EG,"May 12th, 2016",$3.4K - $54.2K,$40.7K - $650.9K,B+,196,33131,664100,60,349847808,128,13561380,Nelly & Sherihan
Comedy,,"Oct 18th, 2015",$3K - $48.5K,$36.4K - $581.8K,B+,32,50540,412795,66,76255400,32,12120900,MeLon Dude
Comedy,FR,"Jan 4th, 2011",$4.8K - $76.4K,$57.3K - $917.1K,B+,-8,56462,11250824,158,2048510680,-9,19107000,NORMAN FAIT DES VIDÉOS
Comedy,RU,"Nov 16th, 2015",$4.1K - $65.3K,$49K - $783.2K,B+,13,36299,135186,48,56928407,40,16317660,Фишка - канал русских…
Comedy,MA,"Jan 13th, 2017",$2.2K - $35.4K,$26.5K - $424.6K,B+,415,51989,230116,336,54125406,304,8845050,StandUp AlAoula TV
Comedy,IQ,"Sep 9th, 2014",$4K - $63.5K,$47.7K - $762.4K,B+,68,76166,3089849,175,887396144,65,15883530,Ameer Alabadi
Comedy,,"Jul 9th, 2014",$2.8K - $45.5K,$34.1K - $545.8K,B+,70,22942,210346,2375,114021909,62,11370450,"Проект ""Студия Звёзд"""
Comedy,CA,"Jul 6th, 2010",$3.6K - $57K,$42.8K - $684.1K,B+,171,124503,2436449,171,317860966,86,14251170,NELK
Comedy,BR,"May 27th, 2015",$3.2K - $50.5K,$37.9K - $606.5K,B+,22,236330,3604706,148,191427184,28,12636450,Ingrid Ohara TV
Comedy,BR,"May 26th, 2013",$3.2K - $51.8K,$38.9K - $621.8K,B+,59,153170,1479858,111,93619729,32,12953160,Lukas Batista
Comedy,BR,"Sep 20th, 2012",$4.3K - $69.2K,$51.9K - $830.1K,B+,-19,63094,5341575,364,1167539138,3,17294610,5 Alguma Coisa
Comedy,JP,"Feb 21st, 2013",$4.1K - $66.3K,$49.8K - $796.1K,B+,-14,26020,1164689,580,378460536,1,16584780,タケヤキ翔
Comedy,FR,"Sep 19th, 2011",$3.6K - $56.9K,$42.7K - $682.5K,B+,-20,14932,327955,15123,387193669,-7,14219760,France Inter
Comedy,KR,"Aug 4th, 2015",$4.2K - $66.7K,$50K - $800.3K,B+,25,31449,748097,1210,317341421,44,16672680,외질혜 (OzilTube)
Comedy,FR,"May 13th, 2014",$4.8K - $77.3K,$58K - $927.4K,B+,4,83048,1714547,136,267929392,17,19321800,Les Parodie Bros
Comedy,IN,"Feb 10th, 2015",$4.3K - $68.3K,$51.2K - $819.5K,B+,-39,134209,3239487,497,323306250,-35,17072220,MostlySane
Comedy,IN,"Dec 10th, 2015",$3.8K - $61.2K,$45.9K - $734.2K,B+,53,158785,2102910,81,177944653,61,15295110,Nazar Battu Productions
Comedy,NZ,"Mar 14th, 2007",$3.7K - $59K,$44.3K - $708.3K,B+,-2,41280,370760,82,60248896,38,14756340,Joseph's Machines
Comedy,TR,"Dec 26th, 2014",$3.8K - $60.7K,$45.6K - $728.8K,B+,113,12447,906122,779,853294242,63,15184050,Beyaz Show
Comedy,ID,"Apr 22nd, 2016",$4.5K - $72K,$54K - $864.1K,B+,55,54254,679477,190,244844992,45,18001230,Tomat Lebay
Comedy,US,"Apr 21st, 2016",$3.7K - $59.2K,$44.4K - $710.1K,B+,-17,42215,424847,145,94827114,99,14793300,Лучшие приколы Best Jokes
Comedy,IQ,"Oct 6th, 2015",$3.6K - $58K,$43.5K - $696.2K,B+,84,59009,899076,88,121141835,83,14504580,طه البغدادي | Taha al-Baghdadi
Comedy,,"May 9th, 2017",$3.3K - $53.2K,$39.9K - $638.9K,B+,184,39453,620767,51,246610055,132,13311120,Fel La La Land
Comedy,DO,"Feb 12th, 2015",$5.7K - $90.6K,$68K - $1.1M,B+,-16,99157,1570391,289,415390946,-11,22650570,Beby
Comedy,IN,"Feb 11th, 2018",$4.5K - $72.8K,$54.6K - $873.5K,B+,-17,94137,1322662,48,167592730,-21,18197790,Fun Friend Indian
Comedy,UA,"Dec 10th, 2014",$5.3K - $85.6K,$64.2K - $1M,B+,-12,49341,1014474,1545,485915976,-16,21387600,Лига Смеха
Comedy,UA,"Oct 31st, 2014",$3.9K - $62.9K,$47.2K - $755K,B+,-9,143709,3099632,314,481858380,-14,15730020,Чоткий Паца
Comedy,US,"Apr 18th, 2011",$4.2K - $67.4K,$50.6K - $808.8K,B+,25,28096,313187,1316,248385447,46,16850880,Vitamin Production
Comedy,IN,"Jul 17th, 2014",$4.1K - $66.2K,$49.6K - $793.9K,B+,-3,156176,857527,131,85774009,84,16539660,Triggered Insaan
Comedy,VE,"Jun 29th, 2015",$4.4K - $69.6K,$52.2K - $835.4K,B+,35,334944,6595574,67,323318443,126,17405130,YOLO
Comedy,RU,"Aug 23rd, 2014",$4K - $64.4K,$48.3K - $773.2K,B+,54,78269,695165,143,135788522,87,16108890,Margarita Chaton
Comedy,KR,"Jun 7th, 2013",$4.6K - $74.2K,$55.6K - $889.9K,B+,7,66288,3034387,302,760191931,2,18540390,영국남자 Korean Englishman
Comedy,PL,"Oct 4th, 2012",$5.1K - $81.1K,$60.8K - $972.6K,B+,16,21607,3302263,225,1020418570,23,20263380,AbstrachujeTV
Comedy,BO,"Sep 9th, 2013",$3K - $48.2K,$36.2K - $578.8K,B+,,0,0,46,21535409,502,12058830,Gamers IkkI
Comedy,LT,"Sep 10th, 2013",$3.7K - $59.8K,$44.8K - $717.1K,B+,156,66602,398985,412,89934445,141,14938590,ComedyWolf
Comedy,,"May 10th, 2017",$4.4K - $71.2K,$53.4K - $854.2K,B+,142,34457,470099,1203,253726940,90,17796030,القناة الرسمية للفنان…
